datetime,close,high,low,open,volume
2026-05-27 11:05:00+05:30,23965.80078125,23973.19921875,23952.349609375,23954.400390625,0
2026-05-27 11:10:00+05:30,23961.94921875,23968.55078125,23955.05078125,23965.599609375,0
2026-05-27 11:15:00+05:30,23972.05078125,23976.400390625,23959.0,23961.900390625,0
2026-05-27 11:20:00+05:30,23973.599609375,23980.80078125,23970.19921875,23972.5,0
2026-05-27 11:25:00+05:30,23974.05078125,23977.349609375,23967.0,23973.5,0
2026-05-27 11:30:00+05:30,23970.30078125,23983.0,23969.349609375,23974.650390625,0
2026-05-27 11:35:00+05:30,23950.400390625,23972.30078125,23947.0,23970.55078125,0
2026-05-27 11:40:00+05:30,23954.30078125,23967.650390625,23949.80078125,23949.80078125,0
2026-05-27 11:45:00+05:30,23947.150390625,23963.599609375,23945.94921875,23953.5,0
2026-05-27 11:50:00+05:30,23939.0,23951.099609375,23937.05078125,23947.30078125,0
2026-05-27 11:55:00+05:30,23934.05078125,23950.25,23928.75,23939.19921875,0
2026-05-27 12:00:00+05:30,23928.19921875,23941.75,23918.349609375,23933.5,0
2026-05-27 12:05:00+05:30,23930.19921875,23933.30078125,23919.849609375,23928.05078125,0
2026-05-27 12:10:00+05:30,23921.900390625,23934.25,23920.25,23929.55078125,0
2026-05-27 12:15:00+05:30,23937.349609375,23939.0,23921.849609375,23922.55078125,0
2026-05-27 12:20:00+05:30,23932.150390625,23940.849609375,23928.94921875,23936.849609375,0
2026-05-27 12:25:00+05:30,23906.44921875,23935.0,23905.150390625,23931.650390625,0
2026-05-27 12:30:00+05:30,23914.69921875,23918.099609375,23902.44921875,23906.30078125,0
2026-05-27 12:35:00+05:30,23929.900390625,23938.0,23911.650390625,23914.44921875,0
2026-05-27 12:40:00+05:30,23936.30078125,23938.30078125,23925.94921875,23929.19921875,0
2026-05-27 12:45:00+05:30,23930.75,23936.349609375,23925.25,23936.099609375,0
2026-05-27 12:50:00+05:30,23912.5,23931.75,23911.900390625,23930.5,0
2026-05-27 12:55:00+05:30,23905.25,23920.30078125,23904.05078125,23911.75,0
2026-05-27 13:00:00+05:30,23914.099609375,23916.30078125,23895.0,23905.599609375,0
2026-05-27 13:05:00+05:30,23902.94921875,23923.44921875,23902.69921875,23914.349609375,0
2026-05-27 13:10:00+05:30,23898.150390625,23918.599609375,23895.55078125,23902.849609375,0
2026-05-27 13:15:00+05:30,23888.400390625,23898.69921875,23888.400390625,23897.150390625,0
2026-05-27 13:20:00+05:30,23899.25,23900.5,23884.150390625,23888.400390625,0
2026-05-27 13:25:00+05:30,23892.30078125,23905.30078125,23888.30078125,23899.75,0
2026-05-27 13:30:00+05:30,23900.44921875,23902.349609375,23890.94921875,23892.05078125,0
2026-05-27 13:35:00+05:30,23911.0,23913.30078125,23899.55078125,23900.400390625,0
2026-05-27 13:40:00+05:30,23891.55078125,23915.150390625,23890.150390625,23910.400390625,0
2026-05-27 13:45:00+05:30,23893.30078125,23901.150390625,23882.05078125,23891.25,0
2026-05-27 13:50:00+05:30,23911.849609375,23913.349609375,23890.05078125,23893.150390625,0
2026-05-27 13:55:00+05:30,23912.5,23916.349609375,23906.94921875,23911.30078125,0
2026-05-27 14:00:00+05:30,23918.05078125,23924.099609375,23911.75,23912.30078125,0
2026-05-27 14:05:00+05:30,23914.599609375,23922.349609375,23912.94921875,23917.900390625,0
2026-05-27 14:10:00+05:30,23896.0,23915.5,23894.44921875,23914.30078125,0
2026-05-27 14:15:00+05:30,23903.75,23908.05078125,23891.849609375,23895.94921875,0
2026-05-27 14:20:00+05:30,23920.19921875,23922.25,23899.0,23902.25,0
2026-05-27 14:25:00+05:30,23890.349609375,23921.19921875,23884.5,23920.25,0
2026-05-27 14:30:00+05:30,23873.349609375,23890.25,23870.69921875,23890.25,0
2026-05-27 14:35:00+05:30,23881.75,23886.5,23858.55078125,23873.94921875,0
2026-05-27 14:40:00+05:30,23875.05078125,23887.30078125,23868.80078125,23881.400390625,0
2026-05-27 14:45:00+05:30,23878.69921875,23879.599609375,23866.94921875,23875.400390625,0
2026-05-27 14:50:00+05:30,23881.0,23886.0,23870.400390625,23878.900390625,0
2026-05-27 14:55:00+05:30,23896.55078125,23901.05078125,23881.150390625,23881.349609375,0
2026-05-27 15:00:00+05:30,23887.75,23897.400390625,23879.150390625,23896.75,0
2026-05-27 15:05:00+05:30,23899.599609375,23901.80078125,23880.69921875,23888.19921875,0
2026-05-27 15:10:00+05:30,23902.80078125,23906.44921875,23892.099609375,23900.44921875,0
2026-05-27 15:15:00+05:30,23920.30078125,23926.849609375,23902.5,23903.80078125,0
2026-05-27 15:20:00+05:30,23916.900390625,23926.599609375,23914.30078125,23919.849609375,0
2026-05-27 15:25:00+05:30,23921.599609375,23926.69921875,23914.55078125,23916.400390625,0
